Almost Like Being In Love,Bill Evans
Autumn Leaves,Bill Evans
Begin the Beguine,Bill Evans
Black Orpheus (Manhã de Carnaval),Bill Evans
Bluesette,Bill Evans
Body And Soul,Bill Evans
But Not For Me,Bill Evans
Bye Bye Blackbird,Bill Evans
C Jam Blues,Bill Evans
Cantaloupe Island,Bill Evans
Caravan,Bill Evans
Cheek to cheek,Bill Evans
Cherokee,Bill Evans
Corner Pocket,Bill Evans
Dear Old Stockholm,Bill Evans
Desafinado,Bill Evans
Don't Get Around Much Anymore,Bill Evans
Easy To Love,Bill Evans
Everytime We Say Goodbye,Bill Evans
Fly Me To The Moon,Bill Evans
Garota de Ipanema,Bill Evans
Honeysuckle Rose,Bill Evans
How High The Moon,Bill Evans
I Got Rhythm,Bill Evans
I Remember Clifford,Bill Evans
I'm Gonna Sit Right Down and Write Myself a Letter,Bill Evans
I've Got You Under my Skin,Bill Evans
In A Mellow Tone,Bill Evans
In A Sentimental Mood,Bill Evans
Just You Just me,Bill Evans
Love for Sale,Bill Evans
Lullaby Of Birdland,Bill Evans
Misty,Bill Evans
Moanin',Bill Evans
Moonlight Serenade,Bill Evans
Night and Day,Bill Evans
On The Sunny Side Of The Street,Bill Evans
Penthouse Serenade,Bill Evans
Poinciana,Bill Evans
Round Midnight,Bill Evans
Ruby My Dear,Bill Evans
Samba De Orpheu,Bill Evans
Satin Doll,Bill Evans
Song For My Father,Bill Evans
Sophisticated Lady,Bill Evans
Stardust,Bill Evans
Stella By Starlight,Bill Evans
Sugar,Bill Evans
Summertime,Bill Evans
Take Five,Bill Evans
Take The A Train,Bill Evans
Tea For Two,Bill Evans
Tenderly,Bill Evans
The Girl From Ipanema,Bill Evans
There Will Never Be Another You,Bill Evans
These Foolish Things,Bill Evans
They Can't Take That Away from Me,Bill Evans
Three Little Words,Bill Evans
Watermelon Man,Bill Evans
Wave,Bill Evans
West Coast Blues,Bill Evans
What Is This Thing Called Love,Bill Evans
You’re Driving Me Crazy,Bill Evans
'Round Midnight,Billie Holiday
A Child is Born,Billie Holiday
A Foggy Day,Billie Holiday
A Song For My Father,Billie Holiday
All Blues,Billie Holiday
All Of Me,Billie Holiday
All The Things You Are,Billie Holiday
Almost Like Being In Love,Billie Holiday
Autumn Leaves,Billie Holiday
Begin the Beguine,Billie Holiday
Black Orpheus (Manhã de Carnaval),Billie Holiday
Bluesette,Billie Holiday
Body And Soul,Billie Holiday
But Not For Me,Billie Holiday
Bye Bye Blackbird,Billie Holiday
C Jam Blues,Billie Holiday
Cantaloupe Island,Billie Holiday
Caravan,Billie Holiday
Cheek to cheek,Billie Holiday
Cherokee,Billie Holiday
Corner Pocket,Billie Holiday
Dear Old Stockholm,Billie Holiday
Desafinado,Billie Holiday
Don't Get Around Much Anymore,Billie Holiday
Easy To Love,Billie Holiday
Everytime We Say Goodbye,Billie Holiday
Fly Me To The Moon,Billie Holiday
Garota de Ipanema,Billie Holiday
Honeysuckle Rose,Billie Holiday
How High The Moon,Billie Holiday
I Got Rhythm,Billie Holiday
I Remember Clifford,Billie Holiday
I'm Gonna Sit Right Down and Write Myself a Letter,Billie Holiday
I've Got You Under my Skin,Billie Holiday
In A Mellow Tone,Billie Holiday
In A Sentimental Mood,Billie Holiday
Just You Just me,Billie Holiday
Love for Sale,Billie Holiday
Lullaby Of Birdland,Billie Holiday
Misty,Billie Holiday
Moanin',Billie Holiday
Moonlight Serenade,Billie Holiday
Night and Day,Billie Holiday
On The Sunny Side Of The Street,Billie Holiday
Penthouse Serenade,Billie Holiday
Poinciana,Billie Holiday
Round Midnight,Billie Holiday
Ruby My Dear,Billie Holiday
Samba De Orpheu,Billie Holiday
Satin Doll,Billie Holiday
Song For My Father,Billie Holiday
Sophisticated Lady,Billie Holiday
Stardust,Billie Holiday
Stella By Starlight,Billie Holiday
Sugar,Billie Holiday
Summertime,Billie Holiday
Take Five,Billie Holiday
Take The A Train,Billie Holiday
Tea For Two,Billie Holiday
Tenderly,Billie Holiday
The Girl From Ipanema,Billie Holiday
There Will Never Be Another You,Billie Holiday
These Foolish Things,Billie Holiday
They Can't Take That Away from Me,Billie Holiday
Three Little Words,Billie Holiday
Watermelon Man,Billie Holiday
Wave,Billie Holiday
West Coast Blues,Billie Holiday
What Is This Thing Called Love,Billie Holiday
You’re Driving Me Crazy,Billie Holiday
'Round Midnight,Brad Mehldau
A Child is Born,Brad Mehldau
A Foggy Day,Brad Mehldau
A Song For My Father,Brad Mehldau
All Blues,Brad Mehldau
All Of Me,Brad Mehldau
All The Things You Are,Brad Mehldau
Almost Like Being In Love,Brad Mehldau
Autumn Leaves,Brad Mehldau
Begin the Beguine,Brad Mehldau
Black Orpheus (Manhã de Carnaval),Brad Mehldau
Bluesette,Brad Mehldau
Body And Soul,Brad Mehldau
But Not For Me,Brad Mehldau
Bye Bye Blackbird,Brad Mehldau
C Jam Blues,Brad Mehldau
Cantaloupe Island,Brad Mehldau
Caravan,Brad Mehldau
Cheek to cheek,Brad Mehldau
Cherokee,Brad Mehldau
Corner Pocket,Brad Mehldau
Dear Old Stockholm,Brad Mehldau
Desafinado,Brad Mehldau
Don't Get Around Much Anymore,Brad Mehldau
Easy To Love,Brad Mehldau
Everytime We Say Goodbye,Brad Mehldau
Fly Me To The Moon,Brad Mehldau
Garota de Ipanema,Brad Mehldau
Honeysuckle Rose,Brad Mehldau
How High The Moon,Brad Mehldau
I Got Rhythm,Brad Mehldau
I Remember Clifford,Brad Mehldau
I'm Gonna Sit Right Down and Write Myself a Letter,Brad Mehldau
I've Got You Under my Skin,Brad Mehldau
In A Mellow Tone,Brad Mehldau
In A Sentimental Mood,Brad Mehldau
Just You Just me,Brad Mehldau
Love for Sale,Brad Mehldau
Lullaby Of Birdland,Brad Mehldau
Misty,Brad Mehldau
Moanin',Brad Mehldau
Moonlight Serenade,Brad Mehldau
Night and Day,Brad Mehldau
On The Sunny Side Of The Street,Brad Mehldau
Penthouse Serenade,Brad Mehldau
Poinciana,Brad Mehldau
Round Midnight,Brad Mehldau
Ruby My Dear,Brad Mehldau
Samba De Orpheu,Brad Mehldau
Satin Doll,Brad Mehldau
Song For My Father,Brad Mehldau
Sophisticated Lady,Brad Mehldau
Stardust,Brad Mehldau
Stella By Starlight,Brad Mehldau
Sugar,Brad Mehldau
Summertime,Brad Mehldau
Take Five,Brad Mehldau
Take The A Train,Brad Mehldau
Tea For Two,Brad Mehldau
Tenderly,Brad Mehldau
The Girl From Ipanema,Brad Mehldau
There Will Never Be Another You,Brad Mehldau
These Foolish Things,Brad Mehldau
They Can't Take That Away from Me,Brad Mehldau
Three Little Words,Brad Mehldau
Watermelon Man,Brad Mehldau
Wave,Brad Mehldau
West Coast Blues,Brad Mehldau
What Is This Thing Called Love,Brad Mehldau
You’re Driving Me Crazy,Brad Mehldau
'Round Midnight,Bud Powell
A Child is Born,Bud Powell
A Foggy Day,Bud Powell
A Song For My Father,Bud Powell
All Blues,Bud Powell
All Of Me,Bud Powell
All The Things You Are,Bud Powell
Almost Like Being In Love,Bud Powell
Autumn Leaves,Bud Powell
Begin the Beguine,Bud Powell
Black Orpheus (Manhã de Carnaval),Bud Powell
Bluesette,Bud Powell
